TrayID ImagePath ImageType CategoryID X Y Width Height
3 path/to/tray3/image2.jpg Leftover1 2 694 461 209 278
3 path/to/tray3/image2.jpg Leftover1 8 176 128 361 206
3 path/to/tray3/image2.jpg Leftover1 12 142 609 351 276
3 path/to/tray3/image3.jpg Leftover2 8 600 475 411 229
3 path/to/tray3/image3.jpg Leftover2 2 277 140 224 260
3 path/to/tray3/image3.jpg Leftover2 12 118 617 363 289
3 path/to/tray3/image4.jpg Leftover3 8 247 377 293 382
4 path/to/tray4/image1.jpg BeforeMeal 12 805 56 417 352
4 path/to/tray4/image1.jpg BeforeMeal 5 574 508 444 376
4 path/to/tray4/image1.jpg BeforeMeal 11 188 127 357 340
4 path/to/tray4/image1.jpg BeforeMeal 13 109 565 227 277
4 path/to/tray4/image1.jpg BeforeMeal 7 384 117 219 266
4 path/to/tray4/image2.jpg Leftover1 5 684 474 431 483
4 path/to/tray4/image2.jpg Leftover1 7 390 100 165 166
4 path/to/tray4/image2.jpg Leftover1 13 57 537 282 331
4 path/to/tray4/image2.jpg Leftover1 11 160 92 244 257
4 path/to/tray4/image2.jpg Leftover1 12 782 0 497 328
4 path/to/tray4/image3.jpg Leftover2 13 112 606 265 317
4 path/to/tray4/image3.jpg Leftover2 11 325 79 253 277
4 path/to/tray4/image3.jpg Leftover2 7 362 301 165 160
4 path/to/tray4/image3.jpg Leftover2 5 703 540 385 417
4 path/to/tray4/image4.jpg Leftover3 11 283 119 159 129
4 path/to/tray4/image4.jpg Leftover3 12 436 643 351 291
4 path/to/tray4/image4.jpg Leftover3 13 43 757 182 132
4 path/to/tray4/image4.jpg Leftover3 5 733 372 339 190
5 path/to/tray5/image1.jpg BeforeMeal 10 730 519 378 284
5 path/to/tray5/image1.jpg BeforeMeal 13 516 0 214 222
5 path/to/tray5/image1.jpg BeforeMeal 8 731 294 293 389
5 path/to/tray5/image1.jpg BeforeMeal 3 163 305 403 393
5 path/to/tray5/image2.jpg Leftover1 10 806 452 307 254
5 path/to/tray5/image2.jpg Leftover1 3 290 517 330 214
5 path/to/tray5/image2.jpg Leftover1 13 530 78 184 185
5 path/to/tray5/image2.jpg Leftover1 8 710 301 255 359
5 path/to/tray5/image3.jpg Leftover2 10 636 510 219 219
5 path/to/tray5/image3.jpg Leftover2 13 486 44 215 220
5 path/to/tray5/image3.jpg Leftover2 8 458 498 378 262
5 path/to/tray5/image4.jpg Leftover3 13 476 50 201 205
5 path/to/tray5/image4.jpg Leftover3 10 866 502 204 181
5 path/to/tray5/image4.jpg Leftover3 8 703 471 394 269
6 path/to/tray6/image1.jpg BeforeMeal 12 163 481 352 337
6 path/to/tray6/image1.jpg BeforeMeal 2 744 452 352 397
6 path/to/tray6/image1.jpg BeforeMeal 8 371 140 292 305
6 path/to/tray6/image2.jpg Leftover1 2 694 461 209 278
6 path/to/tray6/image2.jpg Leftover1 8 176 128 361 206
6 path/to/tray6/image2.jpg Leftover1 12 142 609 351 276
6 path/to/tray6/image3.jpg Leftover2 8 600 475 411 229
6 path/to/tray6/image3.jpg Leftover2 2 277 140 224 260
6 path/to/tray6/image3.jpg Leftover2 12 118 617 363 289
6 path/to/tray6/image4.jpg Leftover3 8 247 377 293 382
6 path/to/tray6/image4.jpg Leftover3 13 476 50 201 205
6 path/to/tray6/image4.jpg Leftover3 10 866 502 204 181
7 path/to/tray7/image1.jpg BeforeMeal 7 612 664 256 191
7 path/to/tray7/image1.jpg BeforeMeal 12 824 112 306 333
7 path/to/tray7/image1.jpg BeforeMeal 11 641 521 318 285
7 path/to/tray7/image1.jpg BeforeMeal 4 223 135 385 350
7 path/to/tray7/image2.jpg Leftover1 12 863 124 291 327
7 path/to/tray7/image2.jpg Leftover1 7 709 531 146 129
7 path/to/tray7/image2.jpg Leftover1 4 270 201 304 245
7 path/to/tray7/image2.jpg Leftover1 11 579 572 186 267
7 path/to/tray7/image3.jpg Leftover2 12 660 65 295 340
7 path/to/tray7/image3.jpg Leftover2 7 291 154 165 125
7 path/to/tray7/image3.jpg Leftover2 11 154 203 209 260
7 path/to/tray7/image3.jpg Leftover2 4 759 523 306 323
7 path/to/tray7/image4.jpg Leftover3 4 203 237 218 230
7 path/to/tray7/image4.jpg Leftover3 11 990 540 93 140
8 path/to/tray8/image1.jpg BeforeMeal 9 567 450 276 283
8 path/to/tray8/image1.jpg BeforeMeal 12 852 125 310 296
8 path/to/tray8/image1.jpg BeforeMeal 10 660 648 274 251
8 path/to/tray8/image1.jpg BeforeMeal 11 801 486 174 301
8 path/to/tray8/image1.jpg BeforeMeal 4 247 152 367 342
8 path/to/tray8/image2.jpg Leftover1 12 887 215 240 168
8 path/to/tray8/image2.jpg Leftover1 9 642 526 154 166
8 path/to/tray8/image2.jpg Leftover1 4 372 284 222 178
8 path/to/tray8/image2.jpg Leftover1 10 780 664 146 127
8 path/to/tray8/image3.jpg Leftover2 4 333 584 296 239
8 path/to/tray8/image3.jpg Leftover2 9 553 172 254 360
8 path/to/tray8/image3.jpg Leftover2 10 813 167 229 336
8 path/to/tray8/image3.jpg Leftover2 12 145 89 316 345
8 path/to/tray8/image4.jpg Leftover3 4 897 410 211 218
